service_id,date,exception_type
"757_114648","20180529","1"
"757_114648","20180530","1"
"757_114648","20180531","1"
"757_114648","20180601","1"
"757_114649","20171004","1"
"757_114653","20170915","1"
"757_114653","20170918","1"
"757_114653","20170919","1"
"757_114653","20170920","1"
"757_114653","20170921","1"
"757_114653","20170922","1"
"757_114653","20170925","1"
"757_114653","20170926","1"
"757_114653","20170927","1"
"757_114653","20170928","1"
"757_114653","20170929","1"
"757_114653","20171002","1"
"757_114653","20171003","1"
"757_114653","20171005","1"
"757_114653","20171006","1"
"757_114653","20171009","1"
"757_114653","20171010","1"
"757_114653","20171011","1"
"757_114653","20171012","1"
"757_114653","20171013","1"
"757_114653","20171016","1"
"757_114653","20171017","1"
"757_114653","20171018","1"
"757_114653","20171019","1"
"757_114653","20171020","1"
"757_114653","20171023","1"
"757_114653","20171024","1"
"757_114653","20171025","1"
"757_114653","20171026","1"
"757_114653","20171027","1"
"757_114653","20171030","1"
"757_114653","20171031","1"
"757_114653","20171103","1"
"757_114653","20171106","1"
"757_114653","20171107","1"
"757_114653","20171108","1"
"757_114653","20171109","1"
"757_114653","20171110","1"
"757_114653","20171113","1"
"757_114653","20171114","1"
"757_114653","20171115","1"
"757_114653","20171116","1"
"757_114653","20171117","1"
"757_114653","20171120","1"
"757_114653","20171121","1"
"757_114653","20171122","1"
"757_114653","20171123","1"
"757_114653","20171124","1"
"757_114653","20171127","1"
"757_114653","20171128","1"
"757_114653","20171129","1"
"757_114653","20171130","1"
"757_114653","20171201","1"
"757_114653","20171204","1"
"757_114653","20171205","1"
"757_114653","20171206","1"
"757_114653","20171207","1"
"757_114653","20171211","1"
"757_114653","20171212","1"
"757_114653","20171213","1"
"757_114653","20171214","1"
"757_114653","20171215","1"
"757_114653","20171218","1"
"757_114653","20171219","1"
"757_114653","20171220","1"
"757_114653","20171221","1"
"757_114653","20171222","1"
"757_114653","20180108","1"
"757_114653","20180109","1"
"757_114653","20180110","1"
"757_114653","20180111","1"
"757_114653","20180112","1"
"757_114653","20180115","1"
"757_114653","20180116","1"
"757_114653","20180117","1"
"757_114653","20180118","1"
"757_114653","20180119","1"
"757_114653","20180122","1"
"757_114653","20180123","1"
"757_114653","20180124","1"
"757_114653","20180125","1"
"757_114653","20180126","1"
"757_114653","20180129","1"
"757_114653","20180130","1"
"757_114653","20180131","1"
"757_114653","20180201","1"
"757_114653","20180202","1"
"757_114653","20180205","1"
"757_114653","20180206","1"
"757_114653","20180207","1"
"757_114653","20180208","1"
"757_114653","20180209","1"
"757_114653","20180212","1"
"757_114653","20180213","1"
"757_114653","20180214","1"
"757_114653","20180215","1"
"757_114653","20180216","1"
"757_114653","20180219","1"
"757_114653","20180220","1"
"757_114653","20180221","1"
"757_114653","20180222","1"
"757_114653","20180223","1"
"757_114653","20180226","1"
